Rok,Miesiąc,Rodzaj świadczenia,Rozopznanie (Kod ICD-10),Liczba świadczeń,Kategoria
2018,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),314,Piesi
2018,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),46,Piesi
2018,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),343,Piesi
2018,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),50,Piesi
2018,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),306,Piesi
2018,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),56,Piesi
2018,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),279,Piesi
2018,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),46,Piesi
2018,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),287,Piesi
2018,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),47,Piesi
2018,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),252,Piesi
2018,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),43,Piesi
2018,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),283,Piesi
2018,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),33,Piesi
2019,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),197,Piesi
2019,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),48,Piesi
2019,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),230,Piesi
2019,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),19,Piesi
2019,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),209,Piesi
2019,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),43,Piesi
2019,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),305,Piesi
2019,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),56,Piesi
2019,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),382,Piesi
2019,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),53,Piesi
2019,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),484,Piesi
2019,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),65,Piesi
2019,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),361,Piesi
2019,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),68,Piesi
2019,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),398,Piesi
2019,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),57,Piesi
2019,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),411,Piesi
2019,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),50,Piesi
2019,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),395,Piesi
2019,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),57,Piesi
2019,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),295,Piesi
2019,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),56,Piesi
2019,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),341,Piesi
2019,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),44,Piesi
2020,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),303,Piesi
2020,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),37,Piesi
2020,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),269,Piesi
2020,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),18,Piesi
2020,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),240,Piesi
2020,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),22,Piesi
2020,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),166,Piesi
2020,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),30,Piesi
2020,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),251,Piesi
2020,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),42,Piesi
2020,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),359,Piesi
2020,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),52,Piesi
2020,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),394,Piesi
2020,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),51,Piesi
2020,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),410,Piesi
2020,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),65,Piesi
2020,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),420,Piesi
2020,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),51,Piesi
2020,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),354,Piesi
2020,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),54,Piesi
2020,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),224,Piesi
2020,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),47,Piesi
2020,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),318,Piesi
2020,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),48,Piesi
2021,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),280,Piesi
2021,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),34,Piesi
2021,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),248,Piesi
2021,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),32,Piesi
2021,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),245,Piesi
2021,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),33,Piesi
2021,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),251,Piesi
2021,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),42,Piesi
2021,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),382,Piesi
2021,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),50,Piesi
2021,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),504,Piesi
2021,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),72,Piesi
2021,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),546,Piesi
2021,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),76,Piesi
2021,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),488,Piesi
2021,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),75,Piesi
2021,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),449,Piesi
2021,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),62,Piesi
2021,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),457,Piesi
2021,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),59,Piesi
2021,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),393,Piesi
2021,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),55,Piesi
2021,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),349,Piesi
2021,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),44,Piesi
2022,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),316,Piesi
2022,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),29,Piesi
2022,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),254,Piesi
2022,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),26,Piesi
2022,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),358,Piesi
2022,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),48,Piesi
2022,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),382,Piesi
2022,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),55,Piesi
2022,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),561,Piesi
2022,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),76,Piesi
2022,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),505,Piesi
2022,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),64,Piesi
2022,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),553,Piesi
2022,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),61,Piesi
2022,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),532,Piesi
2022,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),62,Piesi
2022,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),471,Piesi
2022,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),71,Piesi
2022,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),564,Piesi
2022,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),120,Piesi
2022,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),360,Piesi
2022,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),43,Piesi
2022,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),386,Piesi
2022,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),60,Piesi
2023,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),356,Piesi
2023,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),46,Piesi
2023,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),376,Piesi
2023,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),35,Piesi
2023,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),339,Piesi
2023,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),100,Piesi
2023,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),410,Piesi
2023,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),154,Piesi
2023,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),515,Piesi
2023,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),65,Piesi
2023,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),547,Piesi
2023,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),86,Piesi
2023,lipiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),563,Piesi
2023,lipiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),73,Piesi
2023,sierpień,łącznie,Pieszy ranny w kolizji z rowerem (V01),589,Piesi
2023,sierpień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),65,Piesi
2023,wrzesień,łącznie,Pieszy ranny w kolizji z rowerem (V01),497,Piesi
2023,wrzesień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),99,Piesi
2023,październik,łącznie,Pieszy ranny w kolizji z rowerem (V01),491,Piesi
2023,październik,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),95,Piesi
2023,listopad,łącznie,Pieszy ranny w kolizji z rowerem (V01),401,Piesi
2023,listopad,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),145,Piesi
2023,grudzień,łącznie,Pieszy ranny w kolizji z rowerem (V01),419,Piesi
2023,grudzień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),49,Piesi
2024,styczeń,łącznie,Pieszy ranny w kolizji z rowerem (V01),386,Piesi
2024,styczeń,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),46,Piesi
2024,luty,łącznie,Pieszy ranny w kolizji z rowerem (V01),298,Piesi
2024,luty,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),46,Piesi
2024,marzec,łącznie,Pieszy ranny w kolizji z rowerem (V01),399,Piesi
2024,marzec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),59,Piesi
2024,kwiecień,łącznie,Pieszy ranny w kolizji z rowerem (V01),508,Piesi
2024,kwiecień,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),67,Piesi
2024,maj,łącznie,Pieszy ranny w kolizji z rowerem (V01),640,Piesi
2024,maj,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),61,Piesi
2024,czerwiec,łącznie,Pieszy ranny w kolizji z rowerem (V01),613,Piesi
2024,czerwiec,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),107,Piesi
2014,łącznie,Podstawowa opieka zdrowotna,łącznie,160,Piesi
2014,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,14,Piesi
2014,łącznie,Leczenie szpitalne,łącznie,235,Piesi
2014,łącznie,Ratownictwo medyczne,łącznie,332,Piesi
2014,łącznie,pozostałe,łącznie,5,Piesi
2015,łącznie,Podstawowa opieka zdrowotna,łącznie,136,Piesi
2015,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,68,Piesi
2015,łącznie,Leczenie szpitalne,łącznie,218,Piesi
2015,łącznie,Ratownictwo medyczne,łącznie,340,Piesi
2015,łącznie,pozostałe,łącznie,64,Piesi
2016,łącznie,Podstawowa opieka zdrowotna,łącznie,142,Piesi
2016,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,12,Piesi
2016,łącznie,Leczenie szpitalne,łącznie,172,Piesi
2016,łącznie,Ratownictwo medyczne,łącznie,350,Piesi
2016,łącznie,pozostałe,łącznie,34,Piesi
2017,łącznie,Podstawowa opieka zdrowotna,łącznie,127,Piesi
2017,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,27,Piesi
2017,łącznie,Leczenie szpitalne,łącznie,153,Piesi
2017,łącznie,Ratownictwo medyczne,łącznie,1577,Piesi
2017,łącznie,pozostałe,łącznie,17,Piesi
2018,łącznie,Podstawowa opieka zdrowotna,łącznie,134,Piesi
2018,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,44,Piesi
2018,łącznie,Leczenie szpitalne,łącznie,114,Piesi
2018,łącznie,Ratownictwo medyczne,łącznie,3339,Piesi
2019,łącznie,Podstawowa opieka zdrowotna,łącznie,148,Piesi
2019,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,32,Piesi
2019,łącznie,Leczenie szpitalne,łącznie,124,Piesi
2019,łącznie,Ratownictwo medyczne,łącznie,4312,Piesi
2019,łącznie,pozostałe,łącznie,7,Piesi
2020,łącznie,Podstawowa opieka zdrowotna,łącznie,122,Piesi
2020,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,45,Piesi
2020,łącznie,Leczenie szpitalne,łącznie,60,Piesi
2020,łącznie,Ratownictwo medyczne,łącznie,3940,Piesi
2020,łącznie,pozostałe,łącznie,57,Piesi
2021,łącznie,Podstawowa opieka zdrowotna,łącznie,132,Piesi
2021,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,50,Piesi
2021,łącznie,Leczenie szpitalne,łącznie,70,Piesi
2021,łącznie,Ratownictwo medyczne,łącznie,4943,Piesi
2021,łącznie,pozostałe,łącznie,30,Piesi
2022,łącznie,Podstawowa opieka zdrowotna,łącznie,114,Piesi
2022,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,88,Piesi
2022,łącznie,Leczenie szpitalne,łącznie,115,Piesi
2022,łącznie,Ratownictwo medyczne,łącznie,5306,Piesi
2022,łącznie,pozostałe,łącznie,332,Piesi
2023,łącznie,Podstawowa opieka zdrowotna,łącznie,162,Piesi
2023,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,134,Piesi
2023,łącznie,Leczenie szpitalne,łącznie,115,Piesi
2023,łącznie,Ratownictwo medyczne,łącznie,5671,Piesi
2023,łącznie,pozostałe,łącznie,423,Piesi
2024,łącznie,Podstawowa opieka zdrowotna,łącznie,69,Piesi
2024,łącznie,Ambulatoryjna opieka specjalistyczna,łącznie,36,Piesi
2024,łącznie,Leczenie szpitalne,łącznie,77,Piesi
2024,łącznie,Ratownictwo medyczne,łącznie,2959,Piesi
2024,łącznie,pozostałe,łącznie,96,Piesi
2014,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),472,Piesi
2014,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),274,Piesi
2015,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),488,Piesi
2015,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),338,Piesi
2016,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),502,Piesi
2016,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),208,Piesi
2017,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),1578,Piesi
2017,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),323,Piesi
2018,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),3154,Piesi
2018,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),477,Piesi
2019,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),4008,Piesi
2019,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),616,Piesi
2020,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),3708,Piesi
2020,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),517,Piesi
2021,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),4592,Piesi
2021,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),634,Piesi
2022,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),5240,Piesi
2022,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),715,Piesi
2023,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),5502,Piesi
2023,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),1000,Piesi
2024,łącznie,łącznie,Pieszy ranny w kolizji z rowerem (V01),2841,Piesi
2024,łącznie,łącznie,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),384,Piesi
2014,styczeń,łącznie,łącznie,23,Piesi
2014,luty,łącznie,łącznie,28,Piesi
2014,marzec,łącznie,łącznie,52,Piesi
2014,kwiecień,łącznie,łącznie,58,Piesi
2014,maj,łącznie,łącznie,72,Piesi
2014,czerwiec,łącznie,łącznie,91,Piesi
2014,lipiec,łącznie,łącznie,105,Piesi
2014,sierpień,łącznie,łącznie,99,Piesi
2014,wrzesień,łącznie,łącznie,76,Piesi
2014,październik,łącznie,łącznie,71,Piesi
2014,listopad,łącznie,łącznie,41,Piesi
2014,grudzień,łącznie,łącznie,30,Piesi
2015,styczeń,łącznie,łącznie,32,Piesi
2015,luty,łącznie,łącznie,29,Piesi
2015,marzec,łącznie,łącznie,39,Piesi
2015,kwiecień,łącznie,łącznie,55,Piesi
2015,maj,łącznie,łącznie,78,Piesi
2015,czerwiec,łącznie,łącznie,138,Piesi
2015,lipiec,łącznie,łącznie,130,Piesi
2015,sierpień,łącznie,łącznie,105,Piesi
2015,wrzesień,łącznie,łącznie,80,Piesi
2015,październik,łącznie,łącznie,62,Piesi
2015,listopad,łącznie,łącznie,40,Piesi
2015,grudzień,łącznie,łącznie,39,Piesi
2016,styczeń,łącznie,łącznie,22,Piesi
2016,luty,łącznie,łącznie,40,Piesi
2016,marzec,łącznie,łącznie,33,Piesi
2016,kwiecień,łącznie,łącznie,32,Piesi
2016,maj,łącznie,łącznie,74,Piesi
2016,czerwiec,łącznie,łącznie,72,Piesi
2016,lipiec,łącznie,łącznie,69,Piesi
2016,sierpień,łącznie,łącznie,126,Piesi
2016,wrzesień,łącznie,łącznie,82,Piesi
2016,październik,łącznie,łącznie,54,Piesi
2016,listopad,łącznie,łącznie,60,Piesi
2016,grudzień,łącznie,łącznie,47,Piesi
2017,styczeń,łącznie,łącznie,38,Piesi
2017,luty,łącznie,łącznie,35,Piesi
2017,marzec,łącznie,łącznie,59,Piesi
2017,kwiecień,łącznie,łącznie,81,Piesi
2017,maj,łącznie,łącznie,149,Piesi
2017,czerwiec,łącznie,łącznie,216,Piesi
2017,lipiec,łącznie,łącznie,219,Piesi
2017,sierpień,łącznie,łącznie,206,Piesi
2017,wrzesień,łącznie,łącznie,242,Piesi
2017,październik,łącznie,łącznie,248,Piesi
2017,listopad,łącznie,łącznie,222,Piesi
2017,grudzień,łącznie,łącznie,186,Piesi
2018,styczeń,łącznie,łącznie,189,Piesi
2018,luty,łącznie,łącznie,198,Piesi
2018,marzec,łącznie,łącznie,247,Piesi
2018,kwiecień,łącznie,łącznie,276,Piesi
2018,maj,łącznie,łącznie,337,Piesi
2018,czerwiec,łącznie,łącznie,360,Piesi
2018,lipiec,łącznie,łącznie,393,Piesi
2018,sierpień,łącznie,łącznie,362,Piesi
2018,wrzesień,łącznie,łącznie,325,Piesi
2018,październik,łącznie,łącznie,334,Piesi
2018,listopad,łącznie,łącznie,295,Piesi
2018,grudzień,łącznie,łącznie,316,Piesi
2019,styczeń,łącznie,łącznie,245,Piesi
2019,luty,łącznie,łącznie,249,Piesi
2019,marzec,łącznie,łącznie,252,Piesi
2019,kwiecień,łącznie,łącznie,361,Piesi
2019,maj,łącznie,łącznie,435,Piesi
2019,czerwiec,łącznie,łącznie,549,Piesi
2019,lipiec,łącznie,łącznie,429,Piesi
2019,sierpień,łącznie,łącznie,455,Piesi
2019,wrzesień,łącznie,łącznie,461,Piesi
2019,październik,łącznie,łącznie,452,Piesi
2019,listopad,łącznie,łącznie,350,Piesi
2019,grudzień,łącznie,łącznie,385,Piesi
2020,styczeń,łącznie,łącznie,340,Piesi
2020,luty,łącznie,łącznie,287,Piesi
2020,marzec,łącznie,łącznie,262,Piesi
2020,kwiecień,łącznie,łącznie,196,Piesi
2020,maj,łącznie,łącznie,292,Piesi
2020,czerwiec,łącznie,łącznie,411,Piesi
2020,lipiec,łącznie,łącznie,445,Piesi
2020,sierpień,łącznie,łącznie,475,Piesi
2020,wrzesień,łącznie,łącznie,471,Piesi
2020,październik,łącznie,łącznie,408,Piesi
2020,listopad,łącznie,łącznie,271,Piesi
2020,grudzień,łącznie,łącznie,366,Piesi
2021,styczeń,łącznie,łącznie,314,Piesi
2021,luty,łącznie,łącznie,280,Piesi
2021,marzec,łącznie,łącznie,278,Piesi
2021,kwiecień,łącznie,łącznie,293,Piesi
2021,maj,łącznie,łącznie,432,Piesi
2021,czerwiec,łącznie,łącznie,576,Piesi
2021,lipiec,łącznie,łącznie,622,Piesi
2021,sierpień,łącznie,łącznie,563,Piesi
2021,wrzesień,łącznie,łącznie,510,Piesi
2021,październik,łącznie,łącznie,516,Piesi
2021,listopad,łącznie,łącznie,448,Piesi
2021,grudzień,łącznie,łącznie,393,Piesi
2022,styczeń,łącznie,łącznie,345,Piesi
2022,luty,łącznie,łącznie,280,Piesi
2022,marzec,łącznie,łącznie,406,Piesi
2022,kwiecień,łącznie,łącznie,437,Piesi
2022,maj,łącznie,łącznie,637,Piesi
2022,czerwiec,łącznie,łącznie,569,Piesi
2022,lipiec,łącznie,łącznie,614,Piesi
2022,sierpień,łącznie,łącznie,594,Piesi
2022,wrzesień,łącznie,łącznie,542,Piesi
2022,październik,łącznie,łącznie,684,Piesi
2022,listopad,łącznie,łącznie,403,Piesi
2022,grudzień,łącznie,łącznie,446,Piesi
2023,styczeń,łącznie,łącznie,402,Piesi
2023,luty,łącznie,łącznie,411,Piesi
2023,marzec,łącznie,łącznie,439,Piesi
2023,kwiecień,łącznie,łącznie,564,Piesi
2023,maj,łącznie,łącznie,580,Piesi
2023,czerwiec,łącznie,łącznie,633,Piesi
2023,lipiec,łącznie,łącznie,636,Piesi
2023,sierpień,łącznie,łącznie,654,Piesi
2023,wrzesień,łącznie,łącznie,596,Piesi
2023,październik,łącznie,łącznie,586,Piesi
2023,listopad,łącznie,łącznie,546,Piesi
2023,grudzień,łącznie,łącznie,468,Piesi
2024,styczeń,łącznie,łącznie,432,Piesi
2024,luty,łącznie,łącznie,344,Piesi
2024,marzec,łącznie,łącznie,458,Piesi
2024,kwiecień,łącznie,łącznie,575,Piesi
2024,maj,łącznie,łącznie,701,Piesi
2024,czerwiec,łącznie,łącznie,720,Piesi
2014,łącznie,łącznie,łącznie,746,Piesi
2015,łącznie,łącznie,łącznie,826,Piesi
2016,łącznie,łącznie,łącznie,710,Piesi
2017,łącznie,łącznie,łącznie,1901,Piesi
2018,łącznie,łącznie,łącznie,3631,Piesi
2019,łącznie,łącznie,łącznie,4623,Piesi
2020,łącznie,łącznie,łącznie,4224,Piesi
2021,łącznie,łącznie,łącznie,5225,Piesi
2022,łącznie,łącznie,łącznie,5955,Piesi
2023,łącznie,łącznie,łącznie,6502,Piesi
2024,łącznie,łącznie,łącznie,3225,Piesi
2014,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2014,styczeń,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",12,Rowerzyści
2014,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
